date,time,cash_type,card,price,coffee_name,quarter,month,year
2024-03-01,6:14,card,ANON-0000-0000-0001,3.87,Latte,1,3,2024
2024-03-01,11:10,card,ANON-0000-0000-0002,3.87,Hot Chocolate,1,3,2024
2024-03-01,11:19,card,ANON-0000-0000-0002,3.87,Hot Chocolate,1,3,2024
2024-03-01,11:37,card,ANON-0000-0000-0003,2.89,Americano,1,3,2024
2024-03-01,12:56,card,ANON-0000-0000-0004,3.87,Latte,1,3,2024
2024-03-01,13:50,card,ANON-0000-0000-0005,3.38,Americano with Milk,1,3,2024
2024-03-01,14:57,card,ANON-0000-0000-0006,3.87,Hot Chocolate,1,3,2024
2024-03-01,16:15,card,ANON-0000-0000-0007,3.38,Americano with Milk,1,3,2024
2024-03-01,16:31,card,ANON-0000-0000-0008,3.87,Cocoa,1,3,2024
2024-03-01,16:38,card,ANON-0000-0000-0008,3.38,Americano with Milk,1,3,2024
2024-03-01,17:55,card,ANON-0000-0000-0009,3.38,Americano with Milk,1,3,2024
2024-03-02,6:57,card,ANON-0000-0000-0010,2.89,Americano,1,3,2024
2024-03-02,8:52,cash,NaN,4,Latte,1,3,2024
2024-03-02,8:56,card,ANON-0000-0000-0011,3.38,Americano with Milk,1,3,2024
2024-03-02,11:35,card,ANON-0000-0000-0012,3.38,Americano with Milk,1,3,2024
2024-03-02,13:15,card,ANON-0000-0000-0013,2.89,Americano,1,3,2024
2024-03-02,13:49,card,ANON-0000-0000-0014,3.38,Americano with Milk,1,3,2024
2024-03-02,14:16,card,ANON-0000-0000-0004,2.89,Americano,1,3,2024
2024-03-03,7:00,cash,NaN,4,Latte,1,3,2024
2024-03-03,7:21,card,ANON-0000-0000-0015,3.87,Latte,1,3,2024
2024-03-03,8:14,card,ANON-0000-0000-0016,2.89,Cortado,1,3,2024
2024-03-03,8:20,card,ANON-0000-0000-0012,2.89,Americano,1,3,2024
2024-03-03,9:17,card,ANON-0000-0000-0017,3.87,Hot Chocolate,1,3,2024
2024-03-03,10:44,card,ANON-0000-0000-0018,3.87,Cocoa,1,3,2024
2024-03-03,11:18,card,ANON-0000-0000-0019,2.89,Cortado,1,3,2024
2024-03-03,13:23,card,ANON-0000-0000-0020,3.38,Americano with Milk,1,3,2024
2024-03-03,13:32,card,ANON-0000-0000-0020,3.38,Americano with Milk,1,3,2024
2024-03-03,16:52,card,ANON-0000-0000-0020,3.87,Hot Chocolate,1,3,2024
2024-03-04,7:14,card,ANON-0000-0000-0001,3.87,Latte,1,3,2024
2024-03-04,7:26,card,ANON-0000-0000-0021,3.87,Latte,1,3,2024
2024-03-04,9:56,card,ANON-0000-0000-0012,3.38,Americano with Milk,1,3,2024
2024-03-04,13:25,card,ANON-0000-0000-0022,2.4,Espresso,1,3,2024
2024-03-05,6:52,card,ANON-0000-0000-0001,3.87,Latte,1,3,2024
2024-03-05,10:11,card,ANON-0000-0000-0023,3.87,Latte,1,3,2024
2024-03-05,12:43,card,ANON-0000-0000-0024,3.87,Latte,1,3,2024
2024-03-05,13:45,card,ANON-0000-0000-0025,3.87,Hot Chocolate,1,3,2024
2024-03-05,15:31,card,ANON-0000-0000-0026,3.87,Cocoa,1,3,2024
2024-03-05,16:52,card,ANON-0000-0000-0027,3.87,Hot Chocolate,1,3,2024
2024-03-05,17:17,card,ANON-0000-0000-0009,3.87,Hot Chocolate,1,3,2024
2024-03-05,17:19,card,ANON-0000-0000-0028,2.89,Cortado,1,3,2024
2024-03-05,17:21,card,ANON-0000-0000-0028,3.87,Hot Chocolate,1,3,2024
2024-03-06,8:42,cash,NaN,3.5,Americano with Milk,1,3,2024
2024-03-06,10:59,card,ANON-0000-0000-0012,2.89,Americano,1,3,2024
2024-03-06,11:26,card,ANON-0000-0000-0012,2.89,Cortado,1,3,2024
2024-03-06,12:26,card,ANON-0000-0000-0029,3.87,Cappuccino,1,3,2024
2024-03-06,12:52,card,ANON-0000-0000-0029,3.87,Cappuccino,1,3,2024
2024-03-07,11:01,cash,NaN,4,Latte,1,3,2024
2024-03-07,12:37,card,ANON-0000-0000-0030,3.87,Hot Chocolate,1,3,2024
2024-03-07,14:14,card,ANON-0000-0000-0031,3.87,Latte,1,3,2024
2024-03-07,14:30,cash,NaN,4,Latte,1,3,2024
2024-03-07,14:39,card,ANON-0000-0000-0032,2.89,Americano,1,3,2024
2024-03-07,16:10,card,ANON-0000-0000-0033,3.38,Americano with Milk,1,3,2024
2024-03-08,7:53,card,ANON-0000-0000-0012,2.89,Cortado,1,3,2024
2024-03-08,11:22,card,ANON-0000-0000-0034,3.87,Cappuccino,1,3,2024
2024-03-08,12:40,card,ANON-0000-0000-0035,2.89,Americano,1,3,2024
2024-03-08,13:14,card,ANON-0000-0000-0012,2.89,Americano,1,3,2024
2024-03-08,14:52,card,ANON-0000-0000-0033,2.89,Americano,1,3,2024
2024-03-08,15:06,card,ANON-0000-0000-0012,3.38,Americano with Milk,1,3,2024
2024-03-08,16:28,card,ANON-0000-0000-0036,3.87,Latte,1,3,2024
2024-03-08,17:29,card,ANON-0000-0000-0037,3.87,Latte,1,3,2024
2024-03-09,6:16,cash,NaN,4,Hot Chocolate,1,3,2024
2024-03-09,7:18,card,ANON-0000-0000-0038,2.4,Espresso,1,3,2024
2024-03-09,7:41,card,ANON-0000-0000-0039,2.89,Americano,1,3,2024
2024-03-09,7:54,card,ANON-0000-0000-0012,3.87,Cappuccino,1,3,2024
2024-03-09,8:11,card,ANON-0000-0000-0040,2.89,Americano,1,3,2024
2024-03-09,8:20,card,ANON-0000-0000-0040,2.89,Americano,1,3,2024
2024-03-09,9:45,card,ANON-0000-0000-0041,3.87,Latte,1,3,2024
2024-03-09,11:25,card,ANON-0000-0000-0042,3.38,Americano with Milk,1,3,2024
2024-03-09,13:28,card,ANON-0000-0000-0043,2.89,Cortado,1,3,2024
2024-03-09,13:36,card,ANON-0000-0000-0043,3.87,Cappuccino,1,3,2024
2024-03-09,14:11,card,ANON-0000-0000-0009,3.38,Americano with Milk,1,3,2024
2024-03-09,15:13,card,ANON-0000-0000-0044,3.87,Hot Chocolate,1,3,2024
2024-03-09,16:13,card,ANON-0000-0000-0009,3.87,Cappuccino,1,3,2024
2024-03-09,16:57,card,ANON-0000-0000-0009,3.87,Hot Chocolate,1,3,2024
2024-03-10,9:23,cash,NaN,3,Americano,1,3,2024
2024-03-10,11:45,cash,NaN,3.5,Americano with Milk,1,3,2024
2024-03-10,12:34,cash,NaN,4,Latte,1,3,2024
2024-03-10,14:40,card,ANON-0000-0000-0045,2.4,Espresso,1,3,2024
2024-03-10,16:48,cash,NaN,3.5,Americano with Milk,1,3,2024
2024-03-10,17:22,card,ANON-0000-0000-0046,3.87,Latte,1,3,2024
2024-03-10,17:43,card,ANON-0000-0000-0046,2.89,Cortado,1,3,2024
2024-03-11,7:03,cash,NaN,4,Latte,1,3,2024
2024-03-11,7:40,cash,NaN,4,Cappuccino,1,3,2024
2024-03-11,8:22,cash,NaN,3,Cortado,1,3,2024
2024-03-11,8:56,cash,NaN,3,Americano,1,3,2024
2024-03-11,9:55,card,ANON-0000-0000-0035,3.87,Cappuccino,1,3,2024
2024-03-11,10:45,card,ANON-0000-0000-0047,2.89,Americano,1,3,2024
2024-03-11,13:33,card,ANON-0000-0000-0047,3.87,Latte,1,3,2024
2024-03-11,15:19,card,ANON-0000-0000-0048,2.89,Cortado,1,3,2024
2024-03-12,6:28,cash,NaN,4,Latte,1,3,2024
2024-03-12,7:41,card,ANON-0000-0000-0033,2.89,Americano,1,3,2024
2024-03-12,8:10,card,ANON-0000-0000-0033,2.89,Cortado,1,3,2024
2024-03-12,9:25,card,ANON-0000-0000-0049,3.87,Hot Chocolate,1,3,2024
2024-03-12,10:31,card,ANON-0000-0000-0004,3.38,Americano with Milk,1,3,2024
